,activation_fn,dropout,neurons,F1
79,[3],[0.32842386599312096],[284],-0.23918182717611827
80,[3],[0.0727479059365847],[497],-0.263279498862787
81,[3],[0.20462420043911006],[293],-0.320700717158292
82,[0],[0.22873336635603558],[301],-0.24559839904352887
83,[2],[0.017073621094815153],[199],-0.2245362386270063
84,[3],[0.9521677384853],[43],-0.07606965151563258
85,[1],[0.19328160857889481],[285],-0.2725171291033549
86,[3],[0.13086303766832938],[293],-0.324207643329722
87,[3],[0.0321637518690845],[309],-0.29558327000576534
88,[3],[0.12271917697215184],[58],-0.237587240857951
89,[0],[0.06564891674143936],[151],-0.2864007761517534
90,[2],[0.7476954900045222],[293],-0.09083460512081064
91,[3],[0.6801518438343246],[293],-0.15460493707294715
92,[1],[0.0025182970740919297],[141],-0.32189522916106117
93,[1],[0.09613267905604855],[15],-0.233112173831557
94,[1],[0.011020363133229086],[495],-0.26587683761459247
95,[1],[0.8198434203119332],[60],-0.1447671193713212
96,[1],[0.13429437556324766],[307],-0.289597848005191
97,[1],[0.036618411868556036],[229],-0.27197145507455817
98,[1],[0.0003435080373588766],[18],-0.20686522294607723
99,[1],[0.26952270584708093],[274],-0.2603185463757195
